iter	RMSE
0	0.6401702081
1	0.6042988875
2	0.5717417162
3	0.5432626151
4	0.5183879705
5	0.4968969196
6	0.4761283778
7	0.4589292016
8	0.4439702796
9	0.4325188534
10	0.420712691
11	0.4118886458
12	0.4019400209
13	0.3926584168
14	0.383692044
15	0.3761958825
16	0.3702232595
17	0.3645719852
18	0.3605680394
19	0.3568437057
20	0.3545355274
21	0.3511400603
22	0.3472126492
23	0.3445793047
24	0.3424429707
25	0.339752245
26	0.3376326572
27	0.3357539933
28	0.3336315899
29	0.3318771361
30	0.3301220107
31	0.3271497707
32	0.3261778422
33	0.3249233128
34	0.3241974034
35	0.3230879825
36	0.3211594596
37	0.3203678385
38	0.3188025901
39	0.3177862061
40	0.3166873895
41	0.3144384291
42	0.3133893558
43	0.3128891889
44	0.3112520566
45	0.3104918635
46	0.3101769705
47	0.309176772
48	0.3087941034
49	0.3082525656
50	0.3078830457
51	0.3066120921
52	0.3059037579
53	0.3049300712
54	0.3045108843
55	0.3044543656
56	0.3041426007
57	0.3038265228
58	0.303432991
59	0.3021835704
60	0.3010647488
61	0.2999474044
62	0.2992459999
63	0.2976690816
64	0.2970792253
65	0.2961472466
66	0.2955736704
67	0.2945062471
68	0.2931053883
69	0.2920045359
70	0.2910046581
71	0.2899751384
72	0.2893675847
73	0.2887689225
74	0.2881487843
75	0.287707812
76	0.2873180047
77	0.2870024959
78	0.2858011945
79	0.2850547236
80	0.2846289253
81	0.284150496
82	0.28375391
83	0.283499008
84	0.2825932333
85	0.2811182114
86	0.2802125881
87	0.2790502716
88	0.2786412043
89	0.2781524596
90	0.2775351945
91	0.2761491221
92	0.2747351472
93	0.2744460024
94	0.2739919198
95	0.2735134657
96	0.2730119437
97	0.2727129736
98	0.2725350799
99	0.2721125246
100	0.270829547
101	0.2705355059
102	0.2694032536
103	0.2684261384
104	0.2676451806
105	0.2667576916
106	0.2663898818
107	0.2656942632
108	0.2646988571
109	0.2641964732
110	0.2629270354
111	0.2622353141
112	0.2610334992
113	0.260719687
114	0.260437442
115	0.2599135235
116	0.259723588
117	0.2589627132
118	0.2583342833
119	0.2579690064
120	0.2573871744
121	0.2570278692
122	0.2568552599
123	0.2556982669
124	0.2553212576
125	0.2542287731
126	0.2539646333
127	0.2535767757
128	0.2525452757
129	0.2522672761
130	0.2519261492
131	0.2509040828
132	0.2505259015
133	0.2498080788
134	0.2495618474
135	0.248738814
136	0.2486272634
137	0.2484045416
138	0.2476848534
139	0.2475032971
140	0.2472175886
141	0.2470523158
142	0.2459215088
143	0.2453953122
144	0.2449335468
145	0.2444025795
146	0.2440727982
147	0.2435881196
148	0.2431582908
149	0.2427981535
150	0.2423897974
151	0.2419240733
152	0.2409046582
153	0.2400471957
154	0.2391035413
155	0.2387361572
156	0.2385250642
157	0.2376415928
158	0.2369436749
159	0.2368372084
160	0.2363242021
161	0.2357637734
162	0.2351312185
163	0.2347570548
164	0.2340666389
165	0.2338530915
166	0.2334800319
167	0.2330477016
168	0.2322828551
169	0.2320086235
170	0.2313243964
171	0.2308954472
172	0.2301949877
173	0.2293404248
174	0.2284014344
175	0.2281271453
176	0.227775673
177	0.2276500693
178	0.2270164048
179	0.2265131154
180	0.2263178964
181	0.2259025169
182	0.2253354372
183	0.2251746836
184	0.2250312943
185	0.2246469705
186	0.223969272
187	0.2238952314
188	0.2233605367
189	0.2229015565
190	0.2222956358
191	0.2216950119
192	0.2214627303
193	0.2213782616
194	0.2211796058
195	0.2208822094
196	0.2204557919
197	0.2200597066
198	0.2199423969
199	0.2195217849
200	0.2193651818
201	0.2189874127
202	0.218497861
203	0.2182281193
204	0.2178925303
205	0.2178327877
206	0.2174548757
207	0.2173715735
208	0.2171923203
209	0.2165062404
210	0.216220775
211	0.2158116161
212	0.2152350487
213	0.2148372414
214	0.214379573
215	0.2140849182
216	0.2137942094
217	0.2133879692
218	0.2126220227
219	0.2121417755
220	0.2116071153
221	0.2110198202
222	0.2105217052
223	0.2099904158
224	0.209657111
225	0.2093146183
226	0.2090107525
227	0.2085598174
228	0.2085164301
229	0.2081742324
230	0.2081373256
231	0.2079206789
232	0.2077301357
233	0.2072292711
234	0.206851277
235	0.2065911764
236	0.2065611052
237	0.2064342731
238	0.2059342375
239	0.2057275499
240	0.2056797533
241	0.2054840284
242	0.2050447375
243	0.2046845611
244	0.204509217
245	0.2042544357
246	0.2040494831
247	0.2033792978
248	0.202954207
249	0.2027259717
250	0.2024756743
251	0.2021178701
252	0.2017362196
253	0.2016448764
254	0.2012592108
255	0.2009734806
256	0.2009176263
257	0.2005424819
258	0.2001529054
259	0.1999482081
260	0.1997501623
261	0.1993933419
262	0.1988460791
263	0.1985037379
264	0.1982364613
265	0.1980550763
266	0.1979714845
267	0.1979061921
268	0.1976766846
269	0.1972616559
270	0.1972147594
271	0.1969829913
272	0.196731853
273	0.1963236304
274	0.196304376
275	0.196192952
276	0.1958417622
277	0.1958223449
278	0.1954351744
279	0.1952399362
280	0.1947906915
281	0.1947706564
282	0.1945405063
283	0.1942012363
284	0.1940415371
285	0.1938411628
286	0.1932555718
287	0.1929563504
288	0.1926732482
289	0.1923337882
290	0.1920783516
291	0.1918774605
292	0.1918616838
293	0.1917336004
294	0.1915205079
295	0.1910541492
296	0.1909274979
297	0.1908111304
298	0.1903380795
299	0.1902212535
