iter	Passed	Remaining
0	4	1475
1	7	1156
2	10	1049
3	13	965
4	15	895
5	17	841
6	18	786
7	20	757
8	22	736
9	24	722
10	26	703
11	28	687
12	30	673
13	32	665
14	34	653
15	36	643
16	38	632
17	40	627
18	42	621
19	44	616
20	45	605
21	47	600
22	49	596
23	51	595
24	53	592
25	55	589
26	57	585
27	60	584
28	62	581
29	64	578
30	66	576
31	68	574
32	70	572
33	72	570
34	74	563
35	76	560
36	78	558
37	79	551
38	81	548
39	84	547
40	86	545
41	88	544
42	90	542
43	92	539
44	94	537
45	96	535
46	98	530
47	100	527
48	102	523
49	104	521
50	105	515
51	108	516
52	110	515
53	113	515
54	115	515
55	117	510
56	119	511
57	121	508
58	124	506
59	126	504
60	128	501
61	130	499
62	132	497
63	134	495
64	136	494
65	138	491
66	140	489
67	142	487
68	144	484
69	147	483
70	149	481
71	151	479
72	154	478
73	156	477
74	158	475
75	161	475
76	163	474
77	165	471
78	168	470
79	170	468
80	172	466
81	174	464
82	177	463
83	179	461
84	181	459
85	184	458
86	186	456
87	188	454
88	191	453
89	193	451
90	196	450
91	198	448
92	200	446
93	202	444
94	204	441
95	206	439
96	209	437
97	211	435
98	213	432
99	215	430
100	217	428
101	220	428
102	222	426
103	225	424
104	227	422
105	230	421
106	232	419
107	234	417
108	237	416
109	239	413
110	241	411
111	244	409
112	246	407
113	248	405
114	250	402
115	252	400
116	254	398
117	256	396
118	259	394
119	261	392
120	263	390
121	265	388
122	268	385
123	270	383
124	272	381
125	274	379
126	277	378
127	279	375
128	282	373
129	284	372
130	286	369
131	289	367
132	291	366
133	293	364
134	296	362
135	298	360
136	301	358
137	303	356
138	305	354
139	308	352
140	310	350
141	312	347
142	314	345
143	317	343
144	319	341
145	321	339
146	323	336
147	325	334
148	327	332
149	330	330
150	332	327
151	334	326
152	337	323
153	339	321
154	341	319
155	343	317
156	346	315
157	348	313
158	350	310
159	352	308
160	355	306
161	357	304
162	359	302
163	361	300
164	364	297
165	366	295
166	368	293
167	370	291
168	373	289
169	375	286
170	377	284
171	379	282
172	381	280
173	384	278
174	386	276
175	388	273
176	391	271
177	393	269
178	396	267
179	398	265
180	400	263
181	402	261
182	405	259
183	407	256
184	409	254
185	411	252
186	414	250
187	416	247
188	418	245
189	421	243
190	423	241
191	426	239
192	429	237
193	431	235
194	433	233
195	436	231
196	438	229
197	440	226
198	442	224
199	444	222
200	447	220
201	449	218
202	452	216
203	454	213
204	456	211
205	458	209
206	460	207
207	463	204
208	465	202
209	467	200
210	469	198
211	471	195
212	473	193
213	475	191
214	478	189
215	480	186
216	482	184
217	484	182
218	487	180
219	489	177
220	491	175
221	493	173
222	495	171
223	498	169
224	500	166
225	503	164
226	509	163
227	512	161
228	515	159
229	518	157
230	520	155
231	524	153
232	527	151
233	529	149
234	532	147
235	534	145
236	537	142
237	539	140
238	542	138
239	544	136
240	546	133
241	549	131
242	552	129
243	555	127
244	557	125
245	559	122
246	561	120
247	563	118
248	566	115
249	568	113
250	570	111
251	572	109
252	575	106
253	577	104
254	579	102
255	582	100
256	584	97
257	586	95
258	589	93
259	592	91
260	594	88
261	597	86
262	599	84
263	602	82
264	605	79
265	607	77
266	612	75
267	614	73
268	616	71
269	618	68
270	620	66
271	623	64
272	625	61
273	627	59
274	629	57
275	631	54
276	634	52
277	636	50
278	638	48
279	641	45
280	643	43
281	645	41
282	647	38
283	650	36
284	652	34
285	655	32
286	658	29
287	660	27
288	663	25
289	667	23
290	669	20
291	672	18
292	674	16
293	676	13
294	678	11
295	680	9
296	682	6
297	684	4
298	687	2
299	689	0
